"hip","proper","ra","dec","mag","absmag","t_eff","con","constellations","const_name"
95503,,19.424906,-23.962457,5.45,-0.475,4090,"Sgr",1,"Sagittarius"
95501,,19.424972,3.114775,3.36,2.405,7122,"Aql",4,"Aquila"
95556,,19.435868,36.317896,5.17,-1.511,12367,"Cyg",1,"Cygnus"
95557,,19.4364,-15.053251,5.71,-0.943,9433,"Sgr",0,
95560,,19.437013,20.097733,5.6,1.287,9619,"Vul",0,
95564,,19.438654,-21.776693,5.57,-0.037,4442,"Sgr",1,"Sagittarius"
95572,,19.440037,13.023801,5.76,2.019,6474,"Aql",0,
95576,,19.440688,62.557145,6.38,-0.232,4138,"Dra",0,
95582,,19.441302,19.891493,5.84,-0.53,3876,"Vul",0,
95585,,19.441969,0.33857,4.64,-5.057,5984,"Aql",2,"Aquila"
95619,,19.449022,-29.743225,5.66,1.437,9742,"Sgr",0,
95656,,19.457212,52.320436,5.73,0.572,9560,"Cyg",0,
95664,,19.459419,14.282481,6.31,-0.702,10797,"Aql",0,
95673,,19.46011,37.941197,6.3,-3.001,12367,"Lyr",1,"Lyra"
95690,,19.463366,-54.325272,5.7,-0.384,4150,"Tel",0,
95732,,19.472444,2.93003,5.84,-1.509,9575,"Aql",0,
95771,"Anser",19.478427,24.664905,4.44,-0.359,3986,"Vul",1,"Vulpecula"
95785,,19.482523,24.768723,5.82,-0.17,4806,"Vul",0,
95793,,19.483608,1.950448,5.79,1.856,8556,"Aql",0,
95812,,19.488341,0.24608,6.25,-0.221,4295,"Aql",0,
95818,,19.489138,20.279737,6.34,-1.416,11584,"Vul",0,
95820,,19.489267,-7.044086,6.37,-0.83,5119,"Aql",0,
95822,,19.489487,14.596019,5.57,0.757,4755,"Aql",0,
95823,,19.489951,-43.445195,5.7,1.725,7685,"Sgr",0,
95853,,19.495098,51.729779,3.76,0.907,8098,"Cyg",7,"Cygnus"
95865,,19.497829,-26.985615,5.46,1.181,4629,"Sgr",0,
95866,,19.497944,-55.441754,6.14,1.229,4900,"Tel",0,
95898,,19.502926,2.904073,6.08,-2.886,2806,"Aql",0,
95929,,19.509201,3.444403,6.09,-0.883,9823,"Aql",0,
95932,,19.50961,-55.110053,6.29,3.609,6501,"Tel",0,
95937,,19.511066,-2.788887,5.03,-1.019,3126,"Aql",0,
95947,"Albireo",19.512023,27.959681,3.05,-2.572,4686,"Cyg",10,"Cygnus"
95951,,19.51261,27.965276,5.12,-0.322,11523,"Cyg",0,
95953,,19.513009,36.228503,6.26,-0.168,9758,"Cyg",0,
95965,,19.515013,-21.312237,6.11,-0.769,8291,"Sgr",0,
95978,,19.516746,70.989339,6.06,-0.298,4133,"Dra",0,
95999,,19.519709,-68.43392,5.98,-1.962,3677,"Pav",0,
96003,,19.520432,55.731836,6.37,-1.433,4623,"Cyg",0,
96014,,19.522039,50.306706,5.55,-0.206,4366,"Cyg",0,
96016,,19.522672,26.617171,5.89,1.98,5021,"Vul",0,
96052,,19.529534,34.452968,4.74,-2.367,13675,"Cyg",0,
96095,,19.537231,-44.546387,6.48,3.384,6178,"Sgr",0,
96100,"Alsafi",19.539149,69.661175,4.67,5.87,5322,"Dra",2,"Draco"
96141,,19.54828,-53.185618,5.76,0.443,7218,"Tel",0,
96164,,19.552796,60.158691,6.3,-1.154,3828,"Dra",0,
96178,,19.556007,-45.271748,5.59,0.164,9839,"Tel",0,
96198,,19.561557,49.262319,6,-2.045,3903,"Cyg",0,
96204,,19.562786,5.465708,6.35,-0.181,4041,"Aql",0,
96229,,19.568153,7.378941,4.45,1.858,4531,"Aql",3,"Aquila"
96234,,19.569024,-40.034638,5.89,0.325,8415,"Sgr",0,
96258,,19.572161,51.23662,5.71,3.711,6391,"Cyg",0,
